name,link,desc
TypeWriter,https://github.com/tameemsafi/typewriterjs,打字机效果
awesome nodejs, https://github.com/sindresorhus/awesome-nodejs, nodejs
emoji, https://www.webfx.com/tools/emoji-cheat-sheet/, emoji表情库
一个周刊, https://github.com/dt-fe/weekly, 大量的前端精读周刊
awesome angular, https://github.com/PatrickJS/awesome-angular, awesome angular
awesome electron, https://github.com/sindresorhus/awesome-electron, awesome electron
monaco-editor, https://github.com/Microsoft/monaco-editor, web code editor;微软出品
LuminJS,https://lumin.rocks/, 文本动态高亮效果
cubejs, https://cube.dev/, 一款开源分析框架
editorjs, https://editorjs.io/, 块编辑器
